Name	PValue	PFDR	up-regulation or down-regulation
NECAP1	2.18918E-37	3.91428E-36	down-regulation
CA2	2.39344E-27	9.9398E-27	down-regulation
ADCY3	9.55046E-32	7.11807E-31	up-regulation
UAP1	8.69688E-29	4.30652E-28	down-regulation
EFHD1	1.6621E-17	2.08894E-17	up-regulation
ECM1	8.56637E-28	3.7552E-27	up-regulation
EPHX2	2.47639E-09	1.18613E-09	down-regulation
ANXA3	2.64128E-25	8.45411E-25	down-regulation
CHI3L1	1.94694E-22	4.37299E-22	up-regulation
HIST1H1C	1.35914E-10	7.51326E-11	down-regulation
BAG2	1.67705E-30	1.05132E-29	up-regulation
RARRES2	1.41061E-18	2.03904E-18	up-regulation
RAB27A	2.83163E-29	1.50923E-28	down-regulation
PPAP2C	4.85033E-19	7.41266E-19	down-regulation
GSTZ1	7.55906E-21	1.41792E-20	down-regulation
IGF1	1.55283E-24	4.50181E-24	up-regulation
CD34	3.34108E-17	4.09558E-17	up-regulation
NDN	1.04489E-13	8.32992E-14	up-regulation
IL10RB	4.01992E-33	3.62059E-32	down-regulation
CD200	2.40639E-13	1.83303E-13	up-regulation
EPHB2	2.59275E-12	1.75444E-12	up-regulation
TST	1.76337E-38	3.67841E-37	down-regulation
CYTIP	8.28148E-14	6.70212E-14	down-regulation
SLX1B-SULT1A4	4.09913E-12	2.71357E-12	down-regulation
PDLIM3	4.29809E-34	4.4701E-33	up-regulation
ALDH1B1	1.4036E-25	4.65259E-25	up-regulation
TGFB1I1	2.52771E-22	5.59436E-22	up-regulation
ITGA7	3.51801E-29	1.8426E-28	up-regulation
CHUK	6.17179E-29	3.11565E-28	down-regulation
CES2	3.16663E-09	1.49952E-09	down-regulation
SMAGP	1.36781E-21	2.77047E-21	down-regulation
EYA2	9.03372E-11	5.1034E-11	down-regulation
PTS	1.5005E-34	1.6914E-33	down-regulation
FBP1	2.90529E-26	1.05452E-25	down-regulation
SLC35D1	5.52585E-15	5.176E-15	down-regulation
SERPINB9	3.73411E-11	2.2103E-11	up-regulation
GM2A	8.06494E-33	6.96978E-32	up-regulation
REG1A	7.63594E-13	5.49047E-13	down-regulation
MFAP5	2.28965E-07	8.76096E-08	up-regulation
CHRDL1	1.19141E-10	6.63355E-11	up-regulation
JAG2	3.40546E-29	1.78623E-28	up-regulation
CASP6	1.34674E-30	8.56077E-30	down-regulation
KLK10	2.23535E-12	1.52597E-12	up-regulation
CD69	1.38082E-07	5.42121E-08	up-regulation
FRAT2	1.30787E-17	1.65752E-17	down-regulation
TSPAN5	3.20012E-12	2.14464E-12	down-regulation
FUT4	7.32147E-20	1.2235E-19	down-regulation
SLIT2	5.45422E-31	3.59946E-30	up-regulation
C3AR1	6.32118E-14	5.19795E-14	up-regulation
DHTKD1	7.1114E-62	3.68743E-59	down-regulation
OCLN	1.95576E-35	2.49956E-34	down-regulation
MFSD2B	1.04036E-15	1.06611E-15	down-regulation
TM4SF4	5.22453E-06	1.69421E-06	down-regulation
MAGEA3	2.48831E-11	1.50479E-11	up-regulation
MAGEA6	3.09031E-11	1.84882E-11	up-regulation
FBXL4	1.82192E-14	1.6047E-14	down-regulation
VEGFC	3.49343E-34	3.71847E-33	up-regulation
NCF2	3.74017E-16	4.0212E-16	up-regulation
VILL	6.1794E-39	1.37602E-37	down-regulation
FAP	4.78564E-43	2.28556E-41	up-regulation
GATA6	1.95911E-22	4.39487E-22	down-regulation
OLR1	5.4344E-18	7.27325E-18	up-regulation
PCGF1	1.38038E-29	7.6377E-29	up-regulation
IDO1	3.02006E-05	8.92074E-06	up-regulation
RND1	2.34648E-21	4.64645E-21	down-regulation
MAPK13	3.88644E-22	8.35693E-22	down-regulation
UPK1B	2.10673E-24	5.96933E-24	down-regulation
CCL19	1.03116E-09	5.15463E-10	up-regulation
FOXA2	1.04257E-16	1.20209E-16	down-regulation
FYN	6.85296E-19	1.0287E-18	up-regulation
CLCA1	0.018987794	0.003906772	down-regulation
SPAG1	3.08936E-25	9.82764E-25	down-regulation
KCNJ15	7.83507E-07	2.81739E-07	down-regulation
CHRFAM7A	3.27225E-22	7.13773E-22	down-regulation
CHRNA7	3.27225E-22	7.13344E-22	down-regulation
LOC101929970	3.27225E-22	7.12916E-22	down-regulation
LOC101930361	3.27225E-22	7.12489E-22	down-regulation
BANF1	2.05791E-68	2.48984E-65	up-regulation
ANXA10	3.88871E-23	9.46026E-23	down-regulation
LAMA5	2.8509E-18	3.96164E-18	up-regulation
MYOC	3.28956E-14	2.80348E-14	up-regulation
C6	0.000339086	8.72762E-05	down-regulation
SEC14L5	2.24528E-08	9.71233E-09	down-regulation
FZD2	6.50493E-23	1.52919E-22	up-regulation
LILRB3	2.60294E-17	3.2212E-17	up-regulation
XDH	1.12689E-13	8.93457E-14	down-regulation
YWHAE	1.12052E-43	6.16231E-42	up-regulation
MS4A1	1.13823E-06	4.01613E-07	up-regulation
CCL15	0.00079317	0.000194589	down-regulation
DEFB1	2.20911E-11	1.3431E-11	down-regulation
MLLT4-AS1	3.51401E-12	2.34375E-12	down-regulation
SCN3A	5.64963E-10	2.91076E-10	down-regulation
MAGEA12	2.93941E-08	1.25519E-08	up-regulation
ADH7	1.29406E-12	9.05708E-13	down-regulation
B4GALT4	4.07404E-23	9.88463E-23	down-regulation
AKR1C4	2.02893E-15	2.00937E-15	down-regulation
MFGE8	1.38763E-30	8.80533E-30	up-regulation
HYAL1	8.57243E-26	2.93538E-25	down-regulation
LST1	4.04659E-11	2.38477E-11	up-regulation
SLC43A3	4.928E-27	1.96345E-26	up-regulation
DHRS7	1.3599E-16	1.54587E-16	down-regulation
LOC100996668	4.45881E-27	1.79026E-26	up-regulation
ZEB1	4.45881E-27	1.78828E-26	up-regulation
MGLL	8.12002E-17	9.51662E-17	down-regulation
CPZ	7.68165E-33	6.70236E-32	up-regulation
MLLT11	9.61365E-29	4.754E-28	up-regulation
TCEAL2	8.8251E-06	2.78686E-06	up-regulation
BMP4	1.02928E-29	5.76536E-29	down-regulation
IGHG4	3.1752E-10	1.68075E-10	up-regulation
IGHV3-23	3.74751E-10	1.97248E-10	up-regulation
PTGDS	1.80611E-24	5.18229E-24	up-regulation
FMO2	2.03493E-32	1.69406E-31	up-regulation
ATRN	1.93006E-15	1.91616E-15	down-regulation
MYO1A	3.52181E-14	2.99437E-14	down-regulation
COL4A2	2.86516E-36	4.09432E-35	up-regulation
COL4A1	8.28069E-45	5.27301E-43	up-regulation
HLA-DPA1	2.44295E-07	9.32105E-08	up-regulation
LOC101060275	2.7443E-27	1.13192E-26	down-regulation
C1R	2.71306E-23	6.74024E-23	up-regulation
ERAL1	4.0587E-25	1.27107E-24	up-regulation
GRINA	4.77311E-23	1.13979E-22	up-regulation
COL6A1	1.96086E-42	8.47292E-41	up-regulation
PEG10	6.93341E-15	6.41498E-15	up-regulation
ATXN7L3B	1.49557E-19	2.42666E-19	down-regulation
KCTD12	5.46277E-20	9.26543E-20	up-regulation
IFITM3	8.85901E-17	1.03062E-16	up-regulation
ALDH1A1	3.67895E-18	5.02572E-18	down-regulation
MAP1B	8.79702E-35	1.02014E-33	up-regulation
PIK3R1	9.02406E-28	3.93682E-27	up-regulation
SULF1	1.02889E-39	2.76631E-38	up-regulation
KHNYN	1.20149E-22	2.76364E-22	down-regulation
MYH10	2.27571E-16	2.51066E-16	up-regulation
ZCCHC24	4.84108E-25	1.49927E-24	up-regulation
CENPB	3.6089E-41	1.21288E-39	up-regulation
KIAA0232	1.45589E-29	8.04323E-29	down-regulation
NEDD4L	2.46111E-24	6.93557E-24	down-regulation
KBTBD2	1.345E-31	9.72492E-31	up-regulation
SUCLG2	2.47195E-37	4.39821E-36	down-regulation
CEBPB	1.29291E-18	1.87789E-18	up-regulation
MXRA7	2.38323E-25	7.71661E-25	up-regulation
GPD1L	2.94134E-39	7.16515E-38	down-regulation
PIP5K1C	4.3298E-28	1.97434E-27	up-regulation
AIM1	1.40863E-10	7.77384E-11	down-regulation
CAP2	2.05486E-38	4.26198E-37	up-regulation
DENND5A	1.58572E-19	2.55806E-19	up-regulation
IGJ	1.63176E-30	1.02647E-29	down-regulation
TMEM41B	1.56043E-26	5.82102E-26	down-regulation
CHN1	6.51225E-29	3.26482E-28	up-regulation
PTPLB	4.46566E-21	8.608E-21	down-regulation
RHOBTB1	2.46875E-22	5.49065E-22	down-regulation
ELN	4.20563E-39	9.78527E-38	up-regulation
HLA-DQA2	1.57727E-05	4.82673E-06	up-regulation
LOC100509457	0.000368963	9.44572E-05	up-regulation
LRBA	1.05431E-35	1.39663E-34	down-regulation
TLN2	2.57676E-15	2.52164E-15	down-regulation
LOC102724229	1.05949E-15	1.08357E-15	down-regulation
MFAP4	1.37864E-18	1.99362E-18	up-regulation
SYNM	5.53115E-20	9.37266E-20	up-regulation
BBS4	2.96404E-18	4.11413E-18	down-regulation
C1orf216	5.19728E-22	1.10189E-21	up-regulation
KIAA1033	2.71563E-33	2.53389E-32	up-regulation
JAM3	3.66276E-29	1.91014E-28	up-regulation
AHCYL2	3.41451E-10	1.80296E-10	down-regulation
PPFIBP2	4.89008E-33	4.3397E-32	down-regulation
LRP4	2.5503E-21	5.03358E-21	down-regulation
COL14A1	9.73997E-26	3.29784E-25	up-regulation
GRAMD1B	2.61597E-20	4.60481E-20	down-regulation
C2CD5	6.04145E-24	1.6053E-23	down-regulation
GPR116	1.02588E-21	2.10492E-21	up-regulation
ANGPTL2	6.48043E-39	1.43426E-37	up-regulation
PRKCDBP	7.46865E-19	1.11467E-18	up-regulation
ABHD3	4.2896E-34	4.47408E-33	down-regulation
Y16709	2.15294E-69	3.90722E-66	up-regulation
CHI3L2	3.01804E-12	2.02635E-12	up-regulation
LPCAT4	2.47797E-34	2.70096E-33	down-regulation
SLC35D2	2.80906E-37	4.92559E-36	down-regulation
OLFML2B	1.14483E-23	2.95964E-23	up-regulation
HOXA10	0.001975172	0.00046262	up-regulation
GOLGA6L4	5.03645E-17	6.05119E-17	down-regulation
GOLGA6L5P	5.03645E-17	6.04919E-17	down-regulation
GOLGA6L9	5.03645E-17	6.04719E-17	down-regulation
LOC102724093	5.03645E-17	6.04519E-17	down-regulation
LOC730101	2.47354E-22	5.49456E-22	down-regulation
FBXL7	1.69379E-19	2.72031E-19	up-regulation
SACS	1.20888E-17	1.53743E-17	up-regulation
LOC101929842	0.004658424	0.001042192	down-regulation
PGA3	0.004658424	0.001042128	down-regulation
PGA4	0.004658424	0.001042064	down-regulation
PGA5	0.004658424	0.001041999	down-regulation
RAP1GAP2	9.73182E-16	9.99809E-16	down-regulation
MBOAT2	4.98332E-15	4.69813E-15	down-regulation
PVRL3	2.34809E-21	4.6471E-21	down-regulation
TMEM158	2.99841E-14	2.56438E-14	up-regulation
GDPD5	2.54611E-30	1.5532E-29	up-regulation
DDX12P	4.81874E-20	8.24631E-20	up-regulation
LOC642846	4.81874E-20	8.24242E-20	up-regulation
MST1L	7.15353E-06	2.28444E-06	down-regulation
PLCB3	2.04796E-12	1.40333E-12	down-regulation
TMEM246	4.82129E-30	2.79995E-29	down-regulation
MFSD9	1.6236E-25	5.35253E-25	down-regulation
TJP3	2.60665E-33	2.4511E-32	down-regulation
STON1	4.76713E-21	9.15507E-21	up-regulation
MXRA8	3.51187E-30	2.07604E-29	up-regulation
KIAA0895	1.40099E-15	1.4145E-15	down-regulation
BICC1	1.21531E-27	5.19572E-27	up-regulation
APITD1	3.49364E-13	2.61082E-13	down-regulation
APITD1-CORT	3.49364E-13	2.61028E-13	down-regulation
SOSTDC1	2.02563E-29	1.09737E-28	down-regulation
NPTX2	1.94758E-18	2.76028E-18	up-regulation
LPPR4	3.76147E-18	5.13074E-18	up-regulation
G0S2	1.03695E-06	3.67414E-07	up-regulation
GLCE	5.15009E-27	2.04968E-26	down-regulation
RNASE6	1.87021E-09	9.06914E-10	up-regulation
OSR2	1.17616E-23	3.03633E-23	up-regulation
VPS13A	3.29555E-33	3.01303E-32	down-regulation
SECTM1	8.43998E-07	3.02024E-07	down-regulation
MYO1F	1.04909E-13	8.36152E-14	up-regulation
IRF2BP1	5.89516E-27	2.32581E-26	up-regulation
RSAD2	0.001756154	0.000414586	down-regulation
CLMN	6.02532E-26	2.10288E-25	down-regulation
SERPINA4	7.91476E-06	2.51404E-06	down-regulation
THSD7A	1.64321E-22	3.73235E-22	up-regulation
FAM189A2	8.52172E-11	4.82468E-11	down-regulation
SST	1.29978E-30	8.27676E-30	down-regulation
TWIST1	8.0115E-41	2.48539E-39	up-regulation
KRT20	5.14811E-28	2.33866E-27	down-regulation
ABCC6P1	6.10615E-13	4.44689E-13	down-regulation
ABCC6P2	4.81807E-18	6.49869E-18	down-regulation
CCL8	2.0177E-09	9.75045E-10	up-regulation
LIAS	1.97732E-23	4.9875E-23	down-regulation
ATP10B	1.47118E-11	9.11714E-12	down-regulation
CLDN18	5.47152E-18	7.32023E-18	down-regulation
ZG16	0.007745657	0.00168318	down-regulation
LOC102724788	8.86997E-18	1.149E-17	up-regulation
PRODH	8.86997E-18	1.14859E-17	up-regulation
MUC5AC	6.47918E-25	1.97624E-24	down-regulation
TACR2	1.69886E-21	3.40303E-21	up-regulation
BCAT1	6.20268E-25	1.89829E-24	up-regulation
CYP2C9	9.32078E-34	9.26885E-33	down-regulation
SELENBP1	3.06672E-36	4.34811E-35	down-regulation
NAT1	8.18193E-10	4.14194E-10	down-regulation
ADAMTS2	1.46357E-27	6.19868E-27	up-regulation
GJA5	1.05548E-21	2.15954E-21	up-regulation
GPR65	5.97512E-11	3.44632E-11	up-regulation
TFF2	7.40632E-24	1.95225E-23	down-regulation
FCGR1B	7.37561E-16	7.69503E-16	up-regulation
FPR3	5.01456E-21	9.61498E-21	up-regulation
TNFRSF21	5.85037E-26	2.04378E-25	down-regulation
COL8A1	1.73212E-48	2.24536E-46	up-regulation
ATP8B1	3.83099E-43	1.90483E-41	down-regulation
MIR612	2.62171E-28	1.23104E-27	up-regulation
NEAT1	2.62171E-28	1.22945E-27	up-regulation
MIR22	2.84149E-17	3.50567E-17	down-regulation
MIR22HG	2.84149E-17	3.50448E-17	down-regulation
ZNF468	2.51097E-18	3.50943E-18	down-regulation
ZNF423	7.32151E-22	1.52203E-21	up-regulation
HSPB6	9.03269E-37	1.43797E-35	up-regulation
TOX3	4.74772E-26	1.67796E-25	down-regulation
PLXDC2	8.02912E-30	4.53941E-29	up-regulation
ZNF204P	3.21787E-11	1.92133E-11	down-regulation
LOC101929740	1.49948E-15	1.51142E-15	down-regulation
ZNF37A	1.49948E-15	1.511E-15	down-regulation
THAP9-AS1	5.35715E-16	5.66569E-16	down-regulation
SNHG3	2.63363E-09	1.25845E-09	down-regulation
SNORA73A	2.63363E-09	1.25828E-09	down-regulation
CCDC64	1.12471E-13	8.91919E-14	down-regulation
FNBP1L	6.31517E-47	6.19512E-45	down-regulation
HIST1H2AC	8.02705E-18	1.04842E-17	down-regulation
LOC100129518	2.57964E-25	8.27873E-25	up-regulation
ADTRP	6.07379E-38	1.19167E-36	down-regulation
DNM1	1.11747E-27	4.81145E-27	up-regulation
AL928768.3	9.8172E-17	1.13554E-16	down-regulation
Ig alpha 1-[alpha]2m	9.8172E-17	1.13518E-16	down-regulation
PIK3C2G	1.12559E-24	3.33241E-24	down-regulation
PTPN20B	7.55771E-08	3.06468E-08	down-regulation
CFHR1	1.12888E-09	5.6145E-10	up-regulation
LINC00675	4.41671E-40	1.24273E-38	down-regulation
ASCC2	1.60031E-31	1.14568E-30	down-regulation
SEC16A	4.23327E-28	1.93275E-27	down-regulation
SNRNP40	3.5332E-29	1.84523E-28	down-regulation
CD72	1.44484E-08	6.36444E-09	up-regulation
CYP2C19	1.98094E-15	1.96452E-15	down-regulation
SLC2A14	1.5822E-26	5.8901E-26	up-regulation
PPP1R13B	4.53528E-35	5.43286E-34	down-regulation
RP4-781L3.1	9.31592E-21	1.73049E-20	up-regulation
CCL2	2.3495E-15	2.30983E-15	up-regulation
TM6SF2	2.29136E-09	1.10245E-09	down-regulation
HRASLS2	8.59749E-14	6.94084E-14	down-regulation
FCGR1A	3.1246E-16	3.38242E-16	up-regulation
FCGR1C	7.41522E-16	7.73191E-16	up-regulation
DMPK	9.53765E-38	1.76625E-36	up-regulation
LOC101930405	6.75102E-25	2.04883E-24	up-regulation
PIWIL2	1.32757E-10	7.34213E-11	down-regulation
OR7E14P	2.5059E-32	2.02574E-31	down-regulation
COX16	4.70715E-26	1.6685E-25	down-regulation
SYNJ2BP-COX16	4.47717E-23	1.07691E-22	down-regulation
ZNF813	4.53599E-09	2.10727E-09	down-regulation
SEC14L1P1	3.62726E-14	3.07827E-14	down-regulation
PLEKHA2	2.43661E-32	1.98743E-31	up-regulation
COPG1	5.08628E-36	6.91442E-35	down-regulation
HN1	3.86741E-31	2.59471E-30	down-regulation
RAB31	2.3979E-31	1.64218E-30	up-regulation
C3	3.78777E-13	2.82017E-13	up-regulation
SLTM	1.50876E-33	1.46818E-32	down-regulation
HIGD1A	1.01673E-26	3.89281E-26	down-regulation
PMEPA1	5.18418E-28	2.35211E-27	up-regulation
LIMA1	2.50102E-36	3.63114E-35	down-regulation
KCTD3	1.65714E-23	4.21209E-23	down-regulation
FXYD6	4.05906E-15	3.87304E-15	up-regulation
TMEM214	2.62347E-17	3.24551E-17	up-regulation
STRN4	9.38838E-35	1.08524E-33	up-regulation
FAM129A	8.8875E-19	1.31829E-18	up-regulation
CXCL14	5.34667E-18	7.17435E-18	down-regulation
TMEM9B	6.78502E-29	3.3922E-28	down-regulation
AAAS	2.28979E-22	5.11456E-22	up-regulation
C20orf27	3.17816E-42	1.26766E-40	up-regulation
FXYD5	2.37658E-19	3.76853E-19	up-regulation
CHMP5	4.37033E-29	2.25645E-28	down-regulation
NDUFC2-KCTD14	3.88279E-30	2.28046E-29	down-regulation
OLFML3	1.18314E-13	9.35599E-14	up-regulation
VPS4B	1.1234E-39	2.95476E-38	down-regulation
CLDN1	5.03854E-10	2.61372E-10	up-regulation
UQCR10	3.12347E-23	7.6758E-23	down-regulation
C6orf211	9.64804E-33	8.25924E-32	down-regulation
MLPH	4.99473E-28	2.27468E-27	down-regulation
NR1H2	1.59252E-23	4.05352E-23	up-regulation
PLEKHO1	2.98124E-18	4.13485E-18	up-regulation
C1QA	2.31678E-20	4.10603E-20	up-regulation
SLC38A1	4.82076E-09	2.23271E-09	up-regulation
BDH2	3.83017E-17	4.65737E-17	down-regulation
MIR6789	2.41374E-53	6.25791E-51	down-regulation
PLEKHJ1	2.41374E-53	5.84072E-51	down-regulation
MAP4K3	9.16688E-22	1.88621E-21	down-regulation
GALNT7	3.66198E-36	5.09264E-35	down-regulation
ERMP1	2.40465E-19	3.80972E-19	down-regulation
TMEM176A	1.52292E-23	3.88454E-23	up-regulation
GMNN	6.56249E-18	8.67747E-18	down-regulation
NRSN2	1.70114E-31	1.20833E-30	up-regulation
FANCL	7.45039E-22	1.54705E-21	down-regulation
SNX10	8.84845E-14	7.13234E-14	up-regulation
PANK3	1.85245E-14	1.62803E-14	down-regulation
AACS	1.99218E-31	1.3879E-30	down-regulation
TVP23B	8.14604E-25	2.44561E-24	down-regulation
GREM1	5.43407E-14	4.5114E-14	up-regulation
TMEM14A	1.79929E-37	3.24917E-36	down-regulation
ZCCHC8	3.22992E-22	7.06237E-22	down-regulation
NDUFA4L2	6.3663E-24	1.68792E-23	up-regulation
TRPS1	3.35809E-29	1.76393E-28	up-regulation
RMDN1	2.1119E-18	2.97228E-18	down-regulation
ANAPC2	1.96676E-24	5.59896E-24	up-regulation
MAFB	3.14056E-19	4.91557E-19	up-regulation
SPON2	3.02957E-32	2.41677E-31	up-regulation
DYSF	9.48721E-27	3.65169E-26	up-regulation
S100A14	4.64411E-14	3.88669E-14	down-regulation
TSPAN15	6.22192E-29	3.13224E-28	down-regulation
GRAMD3	4.01901E-24	1.09682E-23	down-regulation
SDPR	1.28691E-16	1.46889E-16	up-regulation
OGN	1.54145E-18	2.22022E-18	up-regulation
MSL2	1.92777E-32	1.61225E-31	down-regulation
DHRS11	0.002298734	0.000534574	down-regulation
SIDT2	1.80152E-14	1.58789E-14	down-regulation
EPS8L1	4.8066E-15	4.5386E-15	down-regulation
HOOK2	3.25153E-25	1.03074E-24	down-regulation
SIRT7	1.45851E-29	8.04548E-29	down-regulation
SRD5A3	1.52903E-19	2.47652E-19	down-regulation
ASB8	1.94228E-66	1.76246E-63	down-regulation
TNS1	3.09088E-37	5.36787E-36	up-regulation
TESC	6.85915E-13	4.9634E-13	down-regulation
GALNT12	2.90461E-23	7.20135E-23	down-regulation
CNNM4	1.8825E-24	5.39295E-24	down-regulation
PIP4K2C	1.55712E-33	1.50716E-32	down-regulation
PLCXD1	1.02412E-14	9.26293E-15	down-regulation
HOXC10	7.23508E-25	2.18295E-24	up-regulation
MYO5C	8.41748E-27	3.27116E-26	down-regulation
COL5A3	3.34869E-35	4.13422E-34	up-regulation
DDX60	4.45405E-23	1.07277E-22	down-regulation
PLGRKT	3.58426E-17	4.37889E-17	down-regulation
C1orf106	6.93779E-18	9.12055E-18	down-regulation
PLEKHA4	9.27938E-18	1.19861E-17	up-regulation
PLAC8	4.17984E-32	3.26971E-31	down-regulation
ETNK1	2.22457E-43	1.13725E-41	down-regulation
CCDC85C	2.31783E-30	1.42351E-29	down-regulation
CD248	4.34177E-32	3.38907E-31	up-regulation
LYVE1	5.92333E-17	7.05371E-17	up-regulation
PPCDC	1.58772E-29	8.69212E-29	down-regulation
PXMP2	1.37145E-27	5.8221E-27	down-regulation
ASPN	4.44775E-24	1.20476E-23	up-regulation
RCN3	1.79991E-42	7.87116E-41	up-regulation
ESRP1	2.76183E-18	3.84375E-18	down-regulation
SLC50A1	2.14331E-18	3.01414E-18	down-regulation
PRR15L	1.10867E-10	6.20431E-11	down-regulation
DBR1	1.287E-12	9.0094E-13	down-regulation
SYNJ2BP	4.51027E-20	7.74399E-20	down-regulation
RASL12	3.72917E-20	6.46093E-20	up-regulation
LIPG	8.03045E-10	4.06865E-10	up-regulation
SCG3	7.8414E-09	3.54707E-09	down-regulation
SCUBE2	1.20432E-06	4.2386E-07	up-regulation
RHBDF2	9.50007E-16	9.7683E-16	up-regulation
ZNF331	8.82459E-24	2.30766E-23	up-regulation
EGLN3	2.55882E-30	1.55834E-29	down-regulation
PHACTR4	4.92722E-48	5.96138E-46	down-regulation
PIGV	4.77468E-23	1.13941E-22	down-regulation
FKBP10	9.26728E-19	1.37127E-18	up-regulation
SPHK1	4.19245E-27	1.68892E-26	up-regulation
RNF128	2.03744E-23	5.12845E-23	down-regulation
GLTP	2.01856E-34	2.22696E-33	down-regulation
SYNDIG1	5.42472E-28	2.45204E-27	up-regulation
GRAMD1C	1.02503E-31	7.5467E-31	down-regulation
TRPM4	1.03487E-25	3.48766E-25	down-regulation
GAREM	1.33875E-18	1.94058E-18	down-regulation
SLAMF8	2.08642E-09	1.00678E-09	up-regulation
GRHL2	4.6603E-14	3.89844E-14	down-regulation
ESRP2	2.22772E-31	1.53432E-30	down-regulation
MIR6773	2.22772E-31	1.53142E-30	down-regulation
CIDEC	6.37872E-09	2.91521E-09	down-regulation
CNTNAP1	1.00934E-22	2.332E-22	up-regulation
TRIM68	1.03397E-37	1.89544E-36	down-regulation
FA2H	9.90654E-26	3.35111E-25	down-regulation
TREM1	2.36035E-30	1.44718E-29	up-regulation
C4orf19	4.81874E-37	8.02312E-36	down-regulation
EGFL6	4.25869E-12	2.81457E-12	up-regulation
C1orf116	7.48942E-30	4.26752E-29	down-regulation
TTC13	8.98845E-22	1.85159E-21	down-regulation
NXN	1.19528E-25	3.98756E-25	up-regulation
C1orf54	3.2643E-20	5.69084E-20	up-regulation
GCNT3	0.000196999	5.22501E-05	down-regulation
FJX1	2.38927E-17	2.96588E-17	up-regulation
CLIC3	1.42259E-09	7.0033E-10	down-regulation
KCTD14	2.35286E-27	9.79368E-27	down-regulation
NME7	1.97687E-35	2.51767E-34	up-regulation
KCNJ16	1.84264E-07	7.11279E-08	down-regulation
PLEKHF1	6.18907E-19	9.31741E-19	up-regulation
SOX18	1.93113E-22	4.34016E-22	up-regulation
CADPS2	3.68773E-15	3.53079E-15	down-regulation
RAB3IL1	3.52668E-11	2.09366E-11	up-regulation
SLC15A3	1.26813E-15	1.28824E-15	up-regulation
SLC6A20	2.04179E-07	7.85231E-08	down-regulation
KCNK5	8.75253E-26	2.99141E-25	down-regulation
SUGCT	2.22767E-12	1.5213E-12	up-regulation
UXS1	5.69483E-30	3.27062E-29	down-regulation
ZSCAN16	8.22263E-30	4.64159E-29	down-regulation
SPSB1	1.1095E-21	2.2637E-21	up-regulation
STK32B	1.01627E-06	3.60507E-07	down-regulation
SAMD9	2.46926E-09	1.18302E-09	down-regulation
SMPD3	5.90677E-35	7.0064E-34	down-regulation
YBX2	1.13734E-23	2.94447E-23	up-regulation
QSER1	4.91931E-13	3.624E-13	up-regulation
GDPD3	1.52914E-24	4.44022E-24	down-regulation
TREM2	2.79925E-18	3.89435E-18	up-regulation
DUOX2	2.18762E-09	1.05407E-09	down-regulation
LOC100996782	3.82699E-17	4.65662E-17	down-regulation
MED18	3.82699E-17	4.65506E-17	down-regulation
SIDT1	2.897E-19	4.54414E-19	down-regulation
TFCP2L1	1.57467E-21	3.1665E-21	down-regulation
SH2D4A	3.64483E-15	3.49064E-15	down-regulation
CLEC1A	1.24869E-24	3.68183E-24	up-regulation
ZNF329	7.02446E-14	5.74891E-14	down-regulation
SMPX	6.06021E-22	1.27295E-21	up-regulation
NOX4	1.05598E-30	6.7718E-30	up-regulation
ZFPM2	2.52487E-23	6.29425E-23	up-regulation
PILRA	1.66525E-20	3.01312E-20	up-regulation
HAND2-AS1	1.80895E-20	3.2666E-20	up-regulation
SLC6A14	1.02838E-07	4.10002E-08	down-regulation
DHRS9	9.75923E-15	8.84243E-15	down-regulation
SMCO4	3.35798E-24	9.28282E-24	down-regulation
MBNL3	1.71131E-27	7.19753E-27	down-regulation
CCDC186	8.57967E-42	3.05307E-40	down-regulation
BARX1	7.84785E-19	1.16886E-18	up-regulation
ATF7IP2	1.04926E-25	3.53291E-25	down-regulation
FAM198B	3.12308E-50	4.72323E-48	up-regulation
FRAT1	1.07708E-17	1.37704E-17	down-regulation
CLEC5A	7.25658E-18	9.51552E-18	up-regulation
TM6SF1	3.75766E-18	5.12747E-18	up-regulation
ERMAP	4.62099E-19	7.08304E-19	down-regulation
MMP28	2.3258E-17	2.89006E-17	down-regulation
UGT2A3	0.000776267	0.000190765	down-regulation
GALNT6	2.70323E-38	5.51226E-37	down-regulation
ACE2	6.92572E-05	1.95217E-05	down-regulation
GIPC2	3.00589E-13	2.25841E-13	down-regulation
ARSJ	1.01628E-10	5.70662E-11	down-regulation
HOOK1	3.9336E-32	3.0904E-31	down-regulation
HS3ST3A1	5.1718E-24	1.38743E-23	up-regulation
E2F8	4.4855E-09	2.08462E-09	down-regulation
LGALSL	1.61469E-24	4.66995E-24	down-regulation
SIGLEC5	1.03737E-17	1.33003E-17	up-regulation
P2RY13	7.74212E-14	6.2951E-14	up-regulation
ERO1LB	2.4483E-09	1.17345E-09	down-regulation
STYK1	1.05262E-56	3.47333E-54	down-regulation
CCDC134	1.43013E-24	4.17275E-24	down-regulation
PPP1R14D	0.000378797	9.68653E-05	down-regulation
BCMO1	1.86374E-06	6.40601E-07	down-regulation
C5AR1	1.38189E-44	8.35966E-43	up-regulation
GNA14	1.34802E-15	1.36558E-15	up-regulation
GAN	4.64849E-14	3.88946E-14	down-regulation
ODAM	0.000190417	5.06114E-05	down-regulation
CRYBA2	6.7433E-08	2.74949E-08	down-regulation
EPB41L4B	2.87295E-34	3.11279E-33	down-regulation
TMPRSS3	1.05286E-15	1.07771E-15	down-regulation
